,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
0,92.0,91.0,26,4,Entire home/apt,1,1.0,2,160.0,1,1125,0,1
1,90.0,100.0,1,6,Entire home/apt,3,3.0,3,350.0,2,30,65,1
3,100.0,87.8,1,2,Private room,1,1.0,1,95.0,1,1125,0,0
5,100.0,100.0,1,4,Entire home/apt,2,1.0,4,99.0,1,1125,0,0
6,100.0,71.4,1,4,Entire home/apt,2,2.0,2,100.0,3,1125,0,0
21,100.0,100.0,1,1,Entire home/apt,1,1.0,1,149.0,3,31,46,0
22,100.0,100.0,2,4,Entire home/apt,1,1.0,2,150.0,2,365,84,0
23,53.0,69.0,1,4,Entire home/apt,1,1.5,1,175.0,1,1125,25,0
24,100.0,100.0,1,3,Entire home/apt,2,1.0,2,239.0,5,1125,4,0
25,56.0,83.0,1,4,Private room,1,1.0,2,65.0,2,1125,2,0
26,52.0,84.0,1,2,Private room,1,1.0,1,71.0,2,14,83,0
27,97.0,100.0,3,2,Entire home/apt,1,1.0,1,80.0,1,1125,19,0
28,100.0,100.0,3,4,Private room,1,2.5,3,250.0,1,730,94,0
29,90.0,100.0,5,2,Private room,1,1.0,1,138.0,1,365,47,0
30,100.0,93.0,1,2,Private room,1,1.0,1,94.0,2,21,150,0
31,100.0,50.0,2,5,Entire home/apt,2,2.5,2,283.0,3,1125,15,0
32,100.0,85.4,1,3,Entire home/apt,1,1.0,3,127.0,3,16,0,0
33,93.0,96.0,2,6,Private room,1,1.0,3,79.0,1,365,69,0
34,100.0,100.0,1,3,Entire home/apt,1,1.0,1,110.0,1,1125,1,0
35,100.0,97.0,3,6,Shared room,1,1.0,6,38.0,1,1125,2,0
36,92.0,94.0,30,9,Entire home/apt,3,2.5,5,480.0,3,1125,5,0
37,80.0,100.0,1,6,Entire home/apt,2,2.0,3,372.0,3,1125,33,0
38,100.0,100.0,1,3,Entire home/apt,1,1.0,2,125.0,1,30,11,0
39,100.0,79.0,1,2,Private room,1,1.0,1,89.0,1,1125,3,0
40,40.0,71.0,2,1,Shared room,1,1.0,1,80.0,1,1125,5,0
41,92.0,94.0,30,5,Entire home/apt,0,1.0,3,90.0,3,999,29,0
42,92.0,100.0,4,3,Entire home/apt,0,1.0,2,110.0,2,1125,32,0
43,88.0,100.0,1,3,Entire home/apt,2,1.0,3,100.0,3,1125,1,0
44,100.0,100.0,1,4,Entire home/apt,2,2.0,2,250.0,1,100,15,0
45,100.0,100.0,5,1,Private room,1,1.0,1,55.0,1,1125,0,0
46,100.0,100.0,5,3,Private room,1,1.0,2,55.0,1,1125,5,0
47,77.4,88.8,1,2,Entire home/apt,1,1.0,1,400.0,2,4,0,0
