"","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","room_type","bedrooms","bathrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","latitude","longitude","city","zipcode","state","tidy_price"
"1","92%","91%",26,4,"Entire home/apt",1,1,2,"$160.00",1,1125,0,38.8900463912291,-77.0028080958599,"Washington","20003","DC",160
"2","90%","100%",1,6,"Entire home/apt",3,3,3,"$350.00",2,30,65,38.8804128178772,-76.9904848665628,"Washington","20003","DC",350
"3","90%","100%",2,1,"Private room",1,2,1,"$50.00",2,1125,1,38.9552909200129,-76.986005739872,"Hyattsville","20782","MD",50
"4","100%","",1,2,"Private room",1,1,1,"$95.00",1,1125,0,38.8721338762604,-77.0196387902929,"Washington","20024","DC",95
"5","92%","67%",1,4,"Entire home/apt",1,1,1,"$50.00",7,1125,0,38.9963816296048,-77.0415410080538,"Silver Spring","20910","MD",50
"6","100%","100%",1,4,"Entire home/apt",2,1,4,"$99.00",1,1125,0,38.8624863333246,-77.0150620122631,"Washington","20024","DC",99
"7","100%","",1,4,"Entire home/apt",2,2,2,"$100.00",3,1125,0,38.9747376623636,-77.0270757639256,"Washington","20012","DC",100
"8","100%","",1,2,"Entire home/apt",1,1,1,"$100.00",1,1125,0,38.9414856300534,-76.9684847517431,"Mount Rainier","20712","MD",100
"9","94%","99%",8,2,"Private room",1,1.5,1,"$38.00",2,180,1,38.8801049591503,-76.9190305417328,"Capitol Heights","20743","MD",38
"10","100%","100%",1,4,"Entire home/apt",2,1.5,2,"$97.00",4,1125,5,38.9800667142794,-77.0155378956782,"Takoma Park","20912","MD",97
"11","88%","100%",1,1,"Entire home/apt",1,1,1,"$55.00",3,1125,1,38.9959377485009,-77.0361411690832,"Silver Spring","20910","MD",55
"12","","",1,2,"Private room",1,1,1,"$50.00",2,14,0,38.9920499626355,-77.0465236925192,"Silver Spring","20910","MD",50
"13","68%","73%",7,2,"Entire home/apt",0,1,1,"$99.00",7,1125,0,38.9902264489921,-77.0298167713757,"Silver Spring","20910","MD",99
"14","100%","83%",1,2,"Private room",1,1,1,"$52.00",1,1125,1,38.9407088482042,-76.9657049936598,"Mount Rainier","20712","MD",52
"15","100%","100%",1,1,"Private room",1,1,1,"$23.00",1,1125,1,38.9618384786299,-76.9939329821818,"Hyattsville","20782","MD",23
"16","","100%",1,2,"Shared room",1,1,2,"$200.00",1,1125,0,38.9920300100524,-77.0309063683051,"Silver Spring","20910","MD",200
"17","83%","80%",1,4,"Entire home/apt",2,1,2,"$40.00",1,1125,0,38.9444196737525,-76.9680864046087,"Mount Rainier","20712","MD",40
"18","","",3,2,"Private room",1,1,1,"$135.00",1,1125,0,38.983941701279,-77.019729785278,"Takoma Park","20912","MD",135
"19","100%","100%",1,2,"Entire home/apt",1,1,1,"$100.00",1,1125,0,38.9455083757894,-76.9705150629973,"Mount Rainier","20712","MD",100
"20","","",3,2,"Private room",1,1,1,"$225.00",1,1125,0,38.9841983989935,-77.0199960140895,"Takoma Park","20912","MD",225
"21","","",1,7,"Entire home/apt",4,3,3,"$129.00",14,1125,0,38.9828992629439,-77.0176488312119,"Takoma Park","20912","MD",129
"22","100%","100%",1,1,"Entire home/apt",1,1,1,"$149.00",3,31,46,38.9287606005741,-77.0480877803629,"Washington","20008","DC",149
"23","100%","100%",2,4,"Entire home/apt",1,1,2,"$150.00",2,365,84,38.9090184189918,-77.0331777430025,"Washington","20005","DC",150
"24","53%","69%",1,4,"Entire home/apt",1,1.5,1,"$175.00",1,1125,25,38.906831066271,-77.0298755829177,"Washington","20005","DC",175
"25","100%","100%",1,3,"Entire home/apt",2,1,2,"$239.00",5,1125,4,38.9128551312933,-77.0221839296238,"Washington","20001","DC",239
"26","56%","83%",1,4,"Private room",1,1,2,"$65.00",2,1125,2,38.9060253264906,-77.0214058072523,"Washington","20001","DC",65
"27","52%","84%",1,2,"Private room",1,1,1,"$71.00",2,14,83,38.908365442193,-77.0228204269382,"Washington","20001","DC",71
"28","97%","100%",3,2,"Entire home/apt",1,1,1,"$80.00",1,1125,19,38.9082324155797,-77.0250919394085,"Washington","20001","DC",80
"29","100%","100%",3,4,"Private room",1,2.5,3,"$250.00",1,730,94,38.9104609140116,-77.0193306765468,"Washington","20001","DC",250
"30","90%","100%",5,2,"Private room",1,1,1,"$138.00",1,365,47,38.9123511972699,-77.0187325977524,"Washington","20001","DC",138
"31","100%","93%",1,2,"Private room",1,1,1,"$94.00",2,21,150,38.9104277500002,-77.020619066038,"Washington","20001","DC",94
"32","100%","50%",2,5,"Entire home/apt",2,2.5,2,"$283.00",3,1125,15,38.907978628927,-77.0189972276757,"Washington","20001","DC",283
"33","100%","",1,3,"Entire home/apt",1,1,3,"$127.00",3,16,0,38.9057558301834,-77.0295514663234,"Washington","20005","DC",127
"34","93%","96%",2,6,"Private room",1,1,3,"$79.00",1,365,69,38.9085120757823,-77.0255825316026,"Washington","20001","DC",79
"35","100%","100%",1,3,"Entire home/apt",1,1,1,"$110.00",1,1125,1,38.9135876229894,-77.0256363755386,"Washington","20001","DC",110
"36","100%","97%",3,6,"Shared room",1,1,6,"$38.00",1,1125,2,38.9110738782903,-77.0232066309948,"Washington","20001","DC",38
"37","92%","94%",30,9,"Entire home/apt",3,2.5,5,"$480.00",3,1125,5,38.912850950948,-77.0338569128132,"Washington","20009","DC",480
"38","80%","100%",1,6,"Entire home/apt",2,2,3,"$372.00",3,1125,33,38.9095093867612,-77.0326777009409,"Washington","20005","DC",372
"39","100%","100%",1,3,"Entire home/apt",1,1,2,"$125.00",1,30,11,38.9103511867343,-77.0236165452758,"Washington","20001","DC",125
"40","100%","79%",1,2,"Private room",1,1,1,"$89.00",1,1125,3,38.9076029502404,-77.0287766405643,"Washington","20005","DC",89
"41","40%","71%",2,1,"Shared room",1,1,1,"$80.00",1,1125,5,38.9099032102363,-77.0216496449225,"Washington","20001","DC",80
"42","92%","94%",30,5,"Entire home/apt",0,1,3,"$90.00",3,999,29,38.9063337731299,-77.0262634935775,"Washington","20001","DC",90
"43","92%","100%",4,3,"Entire home/apt",0,1,2,"$110.00",2,1125,32,38.9071218854795,-77.0190372950761,"Washington","20001","DC",110
"44","88%","100%",1,3,"Entire home/apt",2,1,3,"$100.00",3,1125,1,38.9120689865367,-77.0265447673418,"Washington","20001","DC",100
"45","100%","100%",1,4,"Entire home/apt",2,2,2,"$250.00",1,100,15,38.9098818172059,-77.0337196901953,"Washington","20009","DC",250
"46","100%","100%",5,1,"Private room",1,1,1,"$55.00",1,1125,0,38.8469341200828,-76.999294317529,"Washington","20032","DC",55
"47","100%","100%",5,3,"Private room",1,1,2,"$55.00",1,1125,5,38.8472428939287,-76.9991555885859,"Washington","20032","DC",55
"48","","",1,2,"Entire home/apt",1,1,1,"$400.00",2,4,0,38.828052475491,-77.0104512661136,"Washington","20032","DC",400
"49","100%","100%",5,1,"Private room",1,1,1,"$35.00",1,1125,0,38.8482433469441,-76.9992495150509,"Washington","20032","DC",35
"50","","",1,4,"Entire home/apt",2,2,2,"$160.00",2,8,5,38.8272227364989,-77.0091957823761,"Washington","20032","DC",160
"51","100%","100%",2,4,"Entire home/apt",2,2.5,2,"$130.00",2,1125,1,38.8287192925834,-77.007834139197,"Washington","20032","DC",130
"52","100%","100%",1,1,"Private room",1,1,1,"$50.00",1,1125,0,38.8263620448891,-76.9978667102933,"Washington","20032","DC",50
